time,temperature
1480568400,45.31
1480572000,45.07
1480575600,45.31
1480579200,45.55
1480582800,45.13
1480586400,46.11
1480590000,45.42
1480593600,42
1480597200,43.63
1480600800,48.68
1480604400,51.82
1480608000,52.14
1480611600,52.46
1480615200,50.5
1480618800,50.06
1480622400,48.06
1480626000,47.16
1480629600,45.52
1480633200,45.31
1480636800,43.47
1480640400,42.28
1480644000,41.52
1480647600,38.67
1480651200,38.51
1480654800,37.71
1480658400,36.34
1480662000,35.69
1480665600,33.65
1480669200,33.85
1480672800,31.63
1480676400,32.26
1480680000,31.05
1480683600,33.46
1480687200,37.9
1480690800,42.24
1480694400,45.61
1480698000,46.34
1480701600,47.39
1480705200,47.97
1480708800,46.72
1480712400,46.05
1480716000,44.2
1480719600,43.48
1480723200,41.02
1480726800,38.51
1480730400,37.27
1480734000,39.53
1480737600,40.39
1480741200,40.15
1480744800,39.53
1480748400,38.42
1480752000,37.51
1480755600,37.63
1480759200,37.63
1480762800,37.18
1480766400,36.51
1480770000,37
1480773600,39.42
1480777200,41.08
1480780800,41.39
1480784400,40.93
1480788000,41.62
1480791600,40.94
1480795200,40.59
1480798800,39.64
1480802400,38.71
1480806000,37.87
1480809600,36.73
1480813200,35.35
1480816800,35.05
1480820400,34.1
1480824000,32.24
1480827600,31.9
1480831200,31.69
1480834800,31.57
1480838400,31.02
1480842000,31.94
1480845600,32.01
1480849200,31.92
1480852800,30.34
1480856400,30.38
1480860000,33.61
1480863600,35.19
1480867200,36.71
1480870800,37.82
1480874400,39.04
1480878000,39.28
1480881600,39.7
1480885200,37.6
1480888800,33.42
1480892400,28.2
1480896000,27.29
1480899600,26.48
1480903200,25.01
1480906800,25.06
1480910400,25.14
1480914000,26.43
1480917600,26.43
1480921200,26.88
1480924800,27.64
1480928400,27.87
1480932000,27.66
1480935600,27.42
1480939200,27.42
1480942800,27.96
1480946400,28.72
1480950000,29.31
1480953600,30.61
1480957200,31.38
1480960800,33.07
1480964400,34.78
1480968000,36.01
1480971600,35.07
1480975200,34.38
1480978800,34.81
1480982400,33.74
1480986000,33.27
1480989600,34.59
1480993200,33.54
1480996800,31.96
1481000400,31.45
1481004000,30.54
1481007600,30.5
1481011200,27.83
1481014800,27.51
1481018400,26.74
1481022000,24.76
1481025600,24.06
1481029200,25.59
1481032800,31.93
1481036400,37.29
1481040000,40.77
1481043600,42.63
1481047200,42.76
1481050800,42.31
1481054400,41.07
1481058000,38.39
1481061600,36.37
1481065200,35.94
1481068800,35.96
1481072400,35.77
1481076000,35.55
1481079600,35.31
1481083200,34.55
1481086800,34.24
1481090400,33.69
1481094000,32.22
1481097600,32.22
1481101200,32.01
1481104800,32.35
1481108400,32.35
1481112000,32.77
1481115600,32.9
1481119200,33.59
1481122800,35.2
1481126400,36.63
1481130000,37.42
1481133600,37.96
1481137200,38.72
1481140800,38.96
1481144400,39.06
1481148000,37.47
1481151600,35.04
1481155200,32.71
1481158800,30.97
1481162400,31.3
1481166000,30.95
1481169600,30.73
1481173200,29.9
1481176800,30.26
1481180400,29.89
1481184000,28.24
1481187600,27.71
1481191200,28.15
1481194800,28.39
1481198400,28.75
1481202000,28.86
1481205600,31
1481209200,32
1481212800,33.31
1481216400,35.55
1481220000,37.48
1481223600,39.43
1481227200,39.52
1481230800,37.18
1481234400,35.24
1481238000,34.68
1481241600,33.5
1481245200,33.17
1481248800,32.75
1481252400,31.25
1481256000,31.32
1481259600,30.62
1481263200,30.07
1481266800,30.01
1481270400,29.88
1481274000,29.37
1481277600,29.07
1481281200,29.49
1481284800,30.05
1481288400,29.3
1481292000,30.17
1481295600,31.49
1481299200,31.49
1481302800,31.85
1481306400,32.73
1481310000,33.28
1481313600,31.82
1481317200,29.42
1481320800,27.65
1481324400,26.23
1481328000,25.75
1481331600,25.75
1481335200,25.18
1481338800,24.23
1481342400,22.39
1481346000,21.22
1481349600,20.68
1481353200,19.87
1481356800,19.41
1481360400,18.15
1481364000,16.21
1481367600,15.29
1481371200,16.12
1481374800,18.12
1481378400,20.82
1481382000,21.4
1481385600,23.54
1481389200,26.17
1481392800,27.35
1481396400,28.65
1481400000,29.13
1481403600,26.94
1481407200,24.4
